Date,spi1,spi2,
11-01-1943,0,42,
12-01-1943,0,76,
01-01-1944,0,98,
02-01-1944,1,26,
03-01-1944,1,82,
04-01-1944,1,81,
05-01-1944,-1,79,
06-01-1944,0,23,
07-01-1944,0,19,
08-01-1944,0,62,
09-01-1944,0,47,
10-01-1944,0,27,
11-01-1944,0,1,
12-01-1944,0,35,
01-01-1945,1,8,
02-01-1945,-1,79,
03-01-1945,-1,4,
04-01-1945,0,2,
05-01-1945,0,54,
06-01-1945,0,87,
07-01-1945,0,7,
08-01-1945,0,19,
09-01-1945,1,22,
10-01-1945,0,72,
11-01-1945,0,42,
12-01-1945,0,76,
01-01-1946,-1,79,
02-01-1946,0,46,
03-01-1946,0,95,
04-01-1946,0,97,
05-01-1946,0,87,
06-01-1946,0,5,
07-01-1946,1,27,
08-01-1946,0,35,
09-01-1946,-1,31,
10-01-1946,0,53,
11-01-1946,1,64,
12-01-1946,0,41,
01-01-1947,0,4,
02-01-1947,0,1,
03-01-1947,0,4,
04-01-1947,-1,14,
05-01-1947,0,82,
06-01-1947,0,39,
07-01-1947,0,1,
08-01-1947,0,45,
09-01-1947,1,12,
10-01-1947,0,7,
11-01-1947,0,42,
12-01-1947,0,48,
01-01-1948,1,14,
02-01-1948,0,44,
03-01-1948,0,46,
04-01-1948,-1,4,
05-01-1948,0,4,
06-01-1948,-1,98,
07-01-1948,0,71,
08-01-1948,1,48,
09-01-1948,0,5,
10-01-1948,0,31,
11-01-1948,1,7,
12-01-1948,0,55,
01-01-1949,-1,46,
02-01-1949,1,12,
03-01-1949,0,34,
04-01-1949,0,4,
05-01-1949,0,19,
06-01-1949,-1,6,
07-01-1949,0,96,
08-01-1949,0,26,
09-01-1949,0,72,
10-01-1949,0,28,
11-01-1949,0,42,
12-01-1949,0,76,
01-01-1950,0,54,
02-01-1950,0,38,
03-01-1950,0,97,
04-01-1950,0,77,
05-01-1950,0,17,
06-01-1950,0,38,
07-01-1950,0,3,
08-01-1950,0,64,
09-01-1950,0,12,
10-01-1950,-1,26,
11-01-1950,0,42,
12-01-1950,1,37,
01-01-1951,0,31,
02-01-1951,0,17,
03-01-1951,1,51,
04-01-1951,0,46,
05-01-1951,0,26,
06-01-1951,0,85,
07-01-1951,-1,2,
08-01-1951,0,13,
09-01-1951,0,66,
10-01-1951,0,31,
11-01-1951,1,67,
12-01-1951,0,87,
01-01-1952,0,38,
02-01-1952,0,49,
03-01-1952,1,7,
04-01-1952,0,16,
05-01-1952,0,6,
06-01-1952,1,74,
07-01-1952,0,42,
08-01-1952,1,17,
09-01-1952,-1,4,
10-01-1952,0,69,
11-01-1952,0,31,
12-01-1952,0,47,
01-01-1953,1,13,
02-01-1953,-1,35,
03-01-1953,-1,46,
04-01-1953,0,37,
05-01-1953,0,14,
06-01-1953,0,37,
07-01-1953,1,18,
08-01-1953,0,51,
09-01-1953,0,5,
10-01-1953,0,9,
11-01-1953,0,42,
12-01-1953,0,55,
01-01-1954,1,6,
02-01-1954,1,82,
03-01-1954,0,4,
04-01-1954,-1,28,
05-01-1954,-1,57,
06-01-1954,0,57,
07-01-1954,0,4,
08-01-1954,0,18,
09-01-1954,0,41,
10-01-1954,1,5,
11-01-1954,0,42,
12-01-1954,0,87,
01-01-1955,1,36,
02-01-1955,0,39,
03-01-1955,0,51,
04-01-1955,0,2,
05-01-1955,-1,2,
06-01-1955,0,59,
07-01-1955,0,42,
08-01-1955,0,51,
09-01-1955,0,79,
10-01-1955,2,29,
11-01-1955,0,42,
12-01-1955,0,87,
01-01-1956,0,63,
02-01-1956,0,54,
03-01-1956,1,2,
04-01-1956,0,95,
05-01-1956,0,33,
06-01-1956,0,5,
07-01-1956,0,92,
08-01-1956,0,46,
09-01-1956,0,34,
10-01-1956,2,38,
11-01-1956,0,58,
12-01-1956,0,7,
01-01-1957,1,75,
02-01-1957,-1,47,
03-01-1957,1,3,
04-01-1957,0,31,
05-01-1957,0,94,
06-01-1957,0,53,
07-01-1957,0,46,
08-01-1957,0,29,
09-01-1957,1,22,
10-01-1957,0,19,
11-01-1957,0,41,
12-01-1957,0,85,
01-01-1958,0,27,
02-01-1958,0,75,
03-01-1958,0,32,
04-01-1958,0,32,
05-01-1958,-1,57,
06-01-1958,0,53,
07-01-1958,1,42,
08-01-1958,0,77,
09-01-1958,1,1,
10-01-1958,1,72,
11-01-1958,0,25,
12-01-1958,0,64,
01-01-1959,1,4,
02-01-1959,0,59,
03-01-1959,0,5,
04-01-1959,0,51,
05-01-1959,1,53,
06-01-1959,-1,36,
07-01-1959,0,37,
08-01-1959,0,38,
09-01-1959,0,22,
10-01-1959,0,87,
11-01-1959,1,54,
12-01-1959,0,87,
01-01-1960,0,2,
02-01-1960,-1,79,
03-01-1960,1,48,
04-01-1960,0,23,
05-01-1960,0,34,
06-01-1960,0,1,
07-01-1960,0,92,
08-01-1960,1,27,
09-01-1960,0,37,
10-01-1960,2,25,
11-01-1960,0,42,
12-01-1960,0,2,
01-01-1961,1,35,
02-01-1961,0,97,
03-01-1961,-1,3,
04-01-1961,0,28,
05-01-1961,0,12,
06-01-1961,0,17,
07-01-1961,0,64,
08-01-1961,1,78,
09-01-1961,0,14,
10-01-1961,1,89,
11-01-1961,0,2,
12-01-1961,0,72,
01-01-1962,1,3,
02-01-1962,0,43,
03-01-1962,0,66,
04-01-1962,0,71,
05-01-1962,0,99,
06-01-1962,0,43,
07-01-1962,0,17,
08-01-1962,0,2,
09-01-1962,0,78,
10-01-1962,-1,37,
11-01-1962,0,15,
12-01-1962,0,36,
01-01-1963,0,15,
02-01-1963,0,46,
03-01-1963,0,11,
04-01-1963,0,2,
05-01-1963,0,1,
06-01-1963,0,12,
07-01-1963,0,85,
08-01-1963,1,4,
09-01-1963,1,22,
10-01-1963,-1,19,
11-01-1963,1,17,
12-01-1963,0,16,
01-01-1964,0,96,
02-01-1964,-1,22,
03-01-1964,0,61,
04-01-1964,0,82,
05-01-1964,0,86,
06-01-1964,0,63,
07-01-1964,1,56,
08-01-1964,0,6,
09-01-1964,1,1,
10-01-1964,0,8,
11-01-1964,0,25,
12-01-1964,0,8,
01-01-1965,0,25,
02-01-1965,0,1,
03-01-1965,0,37,
04-01-1965,1,59,
05-01-1965,0,18,
06-01-1965,-2,64,
07-01-1965,0,23,
08-01-1965,0,21,
09-01-1965,0,22,
10-01-1965,0,38,
11-01-1965,0,42,
12-01-1965,0,48,
01-01-1966,0,44,
02-01-1966,0,15,
03-01-1966,0,91,
04-01-1966,-1,14,
05-01-1966,0,87,
06-01-1966,1,21,
07-01-1966,-1,11,
08-01-1966,1,37,
09-01-1966,-1,1,
10-01-1966,0,15,
11-01-1966,0,92,
12-01-1966,0,3,
01-01-1967,-1,51,
02-01-1967,-1,63,
03-01-1967,1,5,
04-01-1967,0,51,
05-01-1967,0,64,
06-01-1967,0,28,
07-01-1967,0,28,
08-01-1967,2,4,
09-01-1967,0,84,
10-01-1967,0,43,
11-01-1967,0,24,
12-01-1967,2,73,
01-01-1968,0,57,
02-01-1968,0,15,
03-01-1968,0,33,
04-01-1968,-1,4,
05-01-1968,-2,15,
06-01-1968,0,42,
07-01-1968,0,79,
08-01-1968,0,37,
09-01-1968,0,81,
10-01-1968,0,1,
11-01-1968,0,42,
12-01-1968,0,28,
01-01-1969,0,46,
02-01-1969,0,72,
03-01-1969,0,33,
04-01-1969,0,23,
05-01-1969,0,63,
06-01-1969,-1,46,
07-01-1969,0,72,
08-01-1969,0,21,
09-01-1969,0,9,
10-01-1969,-1,14,
11-01-1969,1,47,
12-01-1969,0,87,
01-01-1970,1,16,
02-01-1970,1,3,
03-01-1970,0,27,
04-01-1970,-1,28,
05-01-1970,0,56,
06-01-1970,1,3,
07-01-1970,-1,31,
08-01-1970,0,68,
09-01-1970,0,33,
10-01-1970,0,15,
11-01-1970,0,42,
12-01-1970,0,87,
01-01-1971,0,2,
02-01-1971,0,12,
03-01-1971,0,42,
04-01-1971,0,94,
05-01-1971,1,94,
06-01-1971,1,16,
07-01-1971,0,48,
08-01-1971,0,38,
09-01-1971,0,1,
10-01-1971,1,33,
11-01-1971,0,76,
12-01-1971,0,87,
01-01-1972,0,68,
02-01-1972,0,74,
03-01-1972,0,19,
04-01-1972,0,6,
05-01-1972,-1,79,
06-01-1972,0,84,
07-01-1972,0,84,
08-01-1972,0,3,
09-01-1972,0,8,
10-01-1972,0,25,
11-01-1972,1,5,
12-01-1972,0,26,
01-01-1973,0,29,
02-01-1973,0,13,
03-01-1973,0,47,
04-01-1973,-1,6,
05-01-1973,0,8,
06-01-1973,0,29,
07-01-1973,0,27,
08-01-1973,0,48,
09-01-1973,0,47,
10-01-1973,0,88,
11-01-1973,0,31,
12-01-1973,0,24,
01-01-1974,-1,7,
02-01-1974,-1,26,
03-01-1974,0,91,
04-01-1974,-1,28,
05-01-1974,0,8,
06-01-1974,-1,6,
07-01-1974,1,1,
08-01-1974,0,52,
09-01-1974,-1,65,
10-01-1974,0,68,
11-01-1974,0,42,
12-01-1974,1,21,
01-01-1975,0,14,
02-01-1975,0,2,
03-01-1975,0,8,
04-01-1975,0,71,
05-01-1975,0,92,
06-01-1975,1,4,
07-01-1975,0,37,
08-01-1975,0,5,
09-01-1975,1,7,
10-01-1975,0,31,
11-01-1975,0,42,
12-01-1975,0,87,
01-01-1976,-1,14,
02-01-1976,0,8,
03-01-1976,0,42,
04-01-1976,0,23,
05-01-1976,0,21,
06-01-1976,0,1,
07-01-1976,0,8,
08-01-1976,0,6,
09-01-1976,0,65,
10-01-1976,0,65,
11-01-1976,0,1,
12-01-1976,0,64,
01-01-1977,0,28,
02-01-1977,0,75,
03-01-1977,-1,21,
04-01-1977,1,53,
05-01-1977,1,37,
06-01-1977,0,27,
07-01-1977,1,74,
08-01-1977,0,51,
09-01-1977,0,47,
10-01-1977,0,44,
11-01-1977,0,21,
12-01-1977,1,14,
01-01-1978,0,44,
02-01-1978,0,92,
03-01-1978,2,17,
04-01-1978,0,65,
05-01-1978,-1,57,
06-01-1978,1,89,
07-01-1978,0,43,
08-01-1978,1,3,
09-01-1978,0,99,
10-01-1978,0,55,
11-01-1978,0,34,
12-01-1978,0,37,
01-01-1979,1,37,
02-01-1979,1,4,
03-01-1979,0,37,
04-01-1979,0,23,
05-01-1979,1,35,
06-01-1979,0,17,
07-01-1979,0,4,
08-01-1979,-2,45,
09-01-1979,-1,68,
10-01-1979,0,78,
11-01-1979,1,66,
12-01-1979,0,48,
01-01-1980,0,61,
02-01-1980,0,48,
03-01-1980,0,88,
04-01-1980,0,95,
05-01-1980,0,99,
06-01-1980,0,69,
07-01-1980,1,4,
08-01-1980,1,6,
09-01-1980,0,31,
10-01-1980,0,12,
11-01-1980,0,11,
12-01-1980,1,19,
01-01-1981,0,44,
02-01-1981,0,44,
